Symbol,Name,Last Sale, Change
AAPL,Apple Inc.,164.66,0.55
MSFT,Microsoft Corporation,291.60,2.553
GOOG,Alphabet Inc.,108.90,3.764
GOOGL,Alphabet Inc.,108.42,3.781
AMZN,Amazom.com Inc.,102.06,0.95
NVDA, NVIDIA Corporation,270.37,0.58
TSLA,Tesla Inc.,185.06,-0.248
META,Meta Platforms Inc.,216.10,2.185
XOM,Exxon Mobil Corporation,115.05,-1.658
JPM,JP Morgan Chase & Co.,127.47,-0.11
ABBV,AbbVie Inc.,161.55,0.466
BAC,Bank of America Corportion,27.84,0.724
CSCO,Cisco Systems Inc.,51.27,-1.061
MCD,McDonald's Corporation,282.89,0.308
